item_name,CASPR_CI
제주신라호텔 (The Shilla Jeju),"0.00 (nan, nan)"
그랜드 조선 제주 (Grand Josun Jeju),"0.00 (nan, nan)"
도미인 서울 강남 (Dormy Inn SEOUL Gangnam),"33.33 (nan, nan)"
글래드 마포 (GLAD MAPO),"0.00 (nan, nan)"
호텔 피제이 명동 (Hotel PJ Myeongdong),"25.00 (nan, nan)"
나인트리 호텔 명동 (Nine Tree Hotel Myeong-dong),"0.00 (nan, nan)"
신라스테이 서부산 김해공항 (Shilla Stay Seobusan Gimhae Airport),"0.00 (nan, nan)"
센텀 프리미어 호텔 (Centum Premier Hotel (Korea Quality)),"0.00 (nan, nan)"
전주 시그니처 호텔 앤 레지던스 (Jeonju Signature Hotel & Residence),"0.00 (nan, nan)"
라한호텔 전주 (Lahan Hotel Jeonju),"0.00 (nan, nan)"
오크우드 프리미어 인천 호텔 (Oakwood Premier Incheon Hotel),"0.00 (nan, nan)"
그랜드 하얏트 인천 (Grand Hyatt Incheon),"0.00 (nan, nan)"
라마다 제주 시티 호텔 (Ramada Jeju Cityhall),"0.00 (nan, nan)"
그라벨 호텔 (Grabel Hotel),"0.00 (nan, nan)"
호텔 브릿지 서귀포 (Hotel Bridge Seogwipo (Korea Quality)),"0.00 (nan, nan)"
호텔 화인 제주 (Hotel Fine Jeju ),"0.00 (nan, nan)"
서귀포 칼 호텔 (Seogwipo KAL Hotel),"0.00 (nan, nan)"
디아일랜드블루 호텔 (The Island Blue Hotel),"0.00 (nan, nan)"
호텔 수성 (Hotel Susung),"0.00 (nan, nan)"
호텔 라온제나 (Hotel Laonzena),"0.00 (nan, nan)"
